phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Musc/Skel,phecode_709,Acquired deformities of fingers and toes,"0.636 (0.629, 0.645)","0.635 (0.627, 0.643)","-0.001 (-0.003, 0)"
Neoplasms,phecode_107,Malignant neoplasm of male genitalia,"0.685 (0.675, 0.693)","0.684 (0.674, 0.692)","-0.001 (-0.003, 0)"
Neoplasms,phecode_107-2,Malignant neoplasm of the prostate,"0.689 (0.683, 0.697)","0.688 (0.681, 0.696)","-0.001 (-0.003, 0)"
Signs/Symptoms,phecode_807-1,Chronic fatigue syndrome,"0.597 (0.59, 0.604)","0.596 (0.589, 0.604)","-0.001 (-0.003, 0.003)"
Genitourinary,phecode_608,Other disorders of male genital organs,"0.53 (0.524, 0.539)","0.529 (0.524, 0.538)","-0.001 (-0.003, 0.002)"
Genitourinary,phecode_594-4,Frequency of urination and polyuria,"0.587 (0.581, 0.594)","0.586 (0.58, 0.593)","-0.001 (-0.003, 0.001)"
Musc/Skel,phecode_709-2,Acquired deformities of toe,"0.649 (0.639, 0.657)","0.647 (0.638, 0.655)","-0.001 (-0.003, -0.001)"
Genitourinary,phecode_626,Disorders of menstruation and other abnormal bleeding from female genital tract,"0.792 (0.783, 0.801)","0.791 (0.782, 0.8)","-0.001 (-0.002, 0)"
Genitourinary,phecode_608-1,Abnormal findings in semen,"0.824 (0.819, 0.829)","0.823 (0.818, 0.828)","-0.001 (-0.002, 0)"
Resp,phecode_466,Tonsillitis and adenoiditis,"0.649 (0.636, 0.66)","0.648 (0.635, 0.659)","-0.001 (-0.002, 0)"
Neoplasms,phecode_130,"Cancer (solid tumor, excluding BCC)","0.644 (0.639, 0.649)","0.643 (0.638, 0.648)","-0.001 (-0.002, 0.001)"
Resp,phecode_466-1,Acute tonsillitis and adenoiditis,"0.663 (0.653, 0.675)","0.662 (0.652, 0.675)","-0.001 (-0.002, 0.001)"
Neoplasms,phecode_142-1,Lump or mass in breast,"0.748 (0.74, 0.755)","0.747 (0.739, 0.753)","-0.001 (-0.002, -0.001)"
